거래일자,거래시간,지역,연료원,전력거래량(MWh)
2024-01-05,6,인천시,태양광,8e-05
2024-01-05,7,인천시,태양광,0.0
2024-01-05,8,인천시,태양광,0.001425
2024-01-05,9,인천시,태양광,0.602399
2024-01-05,10,인천시,태양광,4.547164
2024-01-05,11,인천시,태양광,12.60079
2024-01-05,12,인천시,태양광,18.444734
2024-01-05,13,인천시,태양광,21.723009
2024-01-05,14,인천시,태양광,22.242798
2024-01-05,15,인천시,태양광,18.858852
2024-01-05,16,인천시,태양광,13.267655
2024-01-05,17,인천시,태양광,10.472662
2024-01-05,18,인천시,태양광,5.490226
2024-01-05,19,인천시,태양광,1.263058
2024-01-05,20,인천시,태양광,1.681651
2024-01-05,21,인천시,태양광,0.659246
2024-01-05,22,인천시,태양광,0.38304
2024-01-05,23,인천시,태양광,0.02208
2024-01-05,24,인천시,태양광,0.0
2024-01-06,1,인천시,태양광,0.0
2024-01-06,2,인천시,태양광,8e-05
2024-01-06,3,인천시,태양광,0.0
2024-01-06,4,인천시,태양광,0.0
2024-01-06,5,인천시,태양광,0.0
2024-01-06,6,인천시,태양광,0.0
2024-01-06,7,인천시,태양광,0.0
2024-01-06,8,인천시,태양광,0.006982
2024-01-06,9,인천시,태양광,2.338453
2024-01-06,10,인천시,태양광,11.065781
2024-01-06,11,인천시,태양광,18.961232
2024-01-06,12,인천시,태양광,24.850926
2024-01-06,13,인천시,태양광,27.789036
2024-01-06,14,인천시,태양광,28.20067
2024-01-06,15,인천시,태양광,24.020032
2024-01-06,16,인천시,태양광,16.246236
2024-01-06,17,인천시,태양광,10.525045
2024-01-06,18,인천시,태양광,6.678134
2024-01-06,19,인천시,태양광,2.194873
2024-01-06,20,인천시,태양광,2.163402
2024-01-06,21,인천시,태양광,1.344632
2024-01-06,22,인천시,태양광,0.415412
2024-01-06,23,인천시,태양광,0.02856
2024-01-06,24,인천시,태양광,0.0
2024-01-07,1,인천시,태양광,0.0
2024-01-07,2,인천시,태양광,0.0
2024-01-07,3,인천시,태양광,0.0
2024-01-07,4,인천시,태양광,0.0
2024-01-07,5,인천시,태양광,0.0
2024-01-07,6,인천시,태양광,8e-05
2024-01-07,7,인천시,태양광,0.0
2024-01-07,8,인천시,태양광,0.002431
2024-01-07,9,인천시,태양광,0.569599
2024-01-07,10,인천시,태양광,3.155172
2024-01-07,11,인천시,태양광,6.528868
2024-01-07,12,인천시,태양광,11.539899
2024-01-07,13,인천시,태양광,18.420099
2024-01-07,14,인천시,태양광,23.746089
2024-01-07,15,인천시,태양광,22.984735
2024-01-07,16,인천시,태양광,17.651509
2024-01-07,17,인천시,태양광,10.832289
2024-01-07,18,인천시,태양광,5.999822
2024-01-07,19,인천시,태양광,2.347705
2024-01-07,20,인천시,태양광,0.725681
2024-01-07,21,인천시,태양광,0.185113
2024-01-07,22,인천시,태양광,0.00672
2024-01-07,23,인천시,태양광,0.0012
2024-01-07,24,인천시,태양광,0.0
2024-01-08,1,인천시,태양광,0.0
2024-01-08,2,인천시,태양광,0.0
2024-01-08,3,인천시,태양광,8e-05
2024-01-08,4,인천시,태양광,0.0
2024-01-08,5,인천시,태양광,0.0
2024-01-08,6,인천시,태양광,0.0
2024-01-08,7,인천시,태양광,0.0
2024-01-08,8,인천시,태양광,0.009583
2024-01-08,9,인천시,태양광,2.170914
2024-01-08,10,인천시,태양광,10.43417
2024-01-08,11,인천시,태양광,18.432125
2024-01-08,12,인천시,태양광,24.994602
2024-01-08,13,인천시,태양광,29.702301
2024-01-08,14,인천시,태양광,29.329251
2024-01-08,15,인천시,태양광,23.446274
2024-01-08,16,인천시,태양광,15.181397
2024-01-08,17,인천시,태양광,10.658554
2024-01-08,18,인천시,태양광,6.527501
2024-01-08,19,인천시,태양광,2.129059
2024-01-08,20,인천시,태양광,2.197482
2024-01-08,21,인천시,태양광,1.420423
2024-01-08,22,인천시,태양광,0.011234
2024-01-08,23,인천시,태양광,0.0036
2024-01-08,24,인천시,태양광,0.0
2024-01-09,1,인천시,태양광,0.0
2024-01-09,2,인천시,태양광,0.0
2024-01-09,3,인천시,태양광,0.0
2024-01-09,4,인천시,태양광,0.0
2024-01-09,5,인천시,태양광,0.0
2024-01-09,6,인천시,태양광,8e-05
2024-01-09,7,인천시,태양광,0.0
2024-01-09,8,인천시,태양광,0.0
2024-01-09,9,인천시,태양광,0.005132
2024-01-09,10,인천시,태양광,0.364498
2024-01-09,11,인천시,태양광,0.868569
2024-01-09,12,인천시,태양광,1.480997
2024-01-09,13,인천시,태양광,2.506232
2024-01-09,14,인천시,태양광,1.779432
2024-01-09,15,인천시,태양광,1.483773
2024-01-09,16,인천시,태양광,1.267712
2024-01-09,17,인천시,태양광,1.109786
2024-01-09,18,인천시,태양광,0.049581
2024-01-09,19,인천시,태양광,0.01472
2024-01-09,20,인천시,태양광,0.0
2024-01-09,21,인천시,태양광,0.0
2024-01-09,22,인천시,태양광,0.0
2024-01-09,23,인천시,태양광,8e-05
2024-01-09,24,인천시,태양광,0.0
2024-01-10,1,인천시,태양광,0.0
2024-01-10,2,인천시,태양광,0.0
2024-01-10,3,인천시,태양광,0.0
2024-01-10,4,인천시,태양광,0.0
2024-01-10,5,인천시,태양광,0.0
2024-01-10,6,인천시,태양광,0.0
2024-01-10,7,인천시,태양광,0.0
2024-01-10,8,인천시,태양광,0.002855
2024-01-10,9,인천시,태양광,1.418211
2024-01-10,10,인천시,태양광,5.481415
2024-01-10,11,인천시,태양광,7.509342
2024-01-10,12,인천시,태양광,11.302877
2024-01-10,13,인천시,태양광,14.912526
2024-01-10,14,인천시,태양광,16.365024
2024-01-10,15,인천시,태양광,17.430555
2024-01-10,16,인천시,태양광,13.175636
2024-01-10,17,인천시,태양광,10.203825
2024-01-10,18,인천시,태양광,2.456026
2024-01-10,19,인천시,태양광,0.948345
2024-01-10,20,인천시,태양광,0.65248
2024-01-10,21,인천시,태양광,0.06252
2024-01-10,22,인천시,태양광,0.00264
2024-01-10,23,인천시,태양광,0.0
2024-01-10,24,인천시,태양광,0.0
2024-01-11,1,인천시,태양광,0.0
2024-01-11,2,인천시,태양광,0.0
2024-01-11,3,인천시,태양광,0.0
2024-01-11,4,인천시,태양광,0.0
2024-01-11,5,인천시,태양광,0.0
2024-01-11,6,인천시,태양광,0.0
2024-01-11,7,인천시,태양광,0.0
2024-01-11,8,인천시,태양광,0.001227
2024-01-11,9,인천시,태양광,1.681897
2024-01-11,10,인천시,태양광,6.447653
2024-01-11,11,인천시,태양광,13.10522
2024-01-11,12,인천시,태양광,18.511928
2024-01-11,13,인천시,태양광,18.8936
2024-01-11,14,인천시,태양광,11.113027
2024-01-11,15,인천시,태양광,6.857176
2024-01-11,16,인천시,태양광,4.95932
2024-01-11,17,인천시,태양광,6.726351
2024-01-11,18,인천시,태양광,2.779098
2024-01-11,19,인천시,태양광,1.336894
2024-01-11,20,인천시,태양광,0.16512
2024-01-11,21,인천시,태양광,0.01064
2024-01-11,22,인천시,태양광,8e-05
2024-01-11,23,인천시,태양광,0.0
2024-01-11,24,인천시,태양광,0.0
2024-01-12,1,인천시,태양광,0.0
2024-01-12,2,인천시,태양광,0.0
2024-01-12,3,인천시,태양광,0.0
2024-01-12,4,인천시,태양광,0.0
2024-01-12,5,인천시,태양광,0.0
2024-01-12,6,인천시,태양광,0.0
2024-01-12,7,인천시,태양광,0.0
2024-01-12,8,인천시,태양광,0.008481
2024-01-12,9,인천시,태양광,2.155588
2024-01-12,10,인천시,태양광,10.294018
2024-01-12,11,인천시,태양광,19.492068
2024-01-12,12,인천시,태양광,26.331248
2024-01-12,13,인천시,태양광,30.263364
2024-01-12,14,인천시,태양광,30.351211
2024-01-12,15,인천시,태양광,26.660676
2024-01-12,16,인천시,태양광,19.825705
2024-01-12,17,인천시,태양광,11.914728
2024-01-12,18,인천시,태양광,7.173913
2024-01-12,19,인천시,태양광,3.321034
2024-01-12,20,인천시,태양광,1.591638
2024-01-12,21,인천시,태양광,0.785038
2024-01-12,22,인천시,태양광,0.016681
2024-01-12,23,인천시,태양광,0.0024
2024-01-12,24,인천시,태양광,0.0
2024-01-13,1,인천시,태양광,0.0
2024-01-13,2,인천시,태양광,0.0
2024-01-13,3,인천시,태양광,0.0
2024-01-13,4,인천시,태양광,0.0
2024-01-13,5,인천시,태양광,0.0
2024-01-13,6,인천시,태양광,0.0
2024-01-13,7,인천시,태양광,0.0
2024-01-13,8,인천시,태양광,0.01601
2024-01-13,9,인천시,태양광,2.368717
2024-01-13,10,인천시,태양광,11.278464
2024-01-13,11,인천시,태양광,19.944122
2024-01-13,12,인천시,태양광,26.444517
2024-01-13,13,인천시,태양광,29.49094
2024-01-13,14,인천시,태양광,29.56526
2024-01-13,15,인천시,태양광,25.90289
2024-01-13,16,인천시,태양광,19.462616
2024-01-13,17,인천시,태양광,12.039737
2024-01-13,18,인천시,태양광,7.272924
2024-01-13,19,인천시,태양광,3.47919
2024-01-13,20,인천시,태양광,1.571717
2024-01-13,21,인천시,태양광,0.864917
2024-01-13,22,인천시,태양광,0.015772
2024-01-13,23,인천시,태양광,0.0036
2024-01-13,24,인천시,태양광,0.0
2024-01-14,1,인천시,태양광,8e-05
2024-01-14,2,인천시,태양광,0.0
2024-01-14,3,인천시,태양광,0.0
2024-01-14,4,인천시,태양광,0.0
2024-01-14,5,인천시,태양광,0.0
2024-01-14,6,인천시,태양광,0.0
2024-01-14,7,인천시,태양광,0.0
2024-01-14,8,인천시,태양광,0.015163
2024-01-14,9,인천시,태양광,1.256112
2024-01-14,10,인천시,태양광,0.690787
2024-01-14,11,인천시,태양광,1.96678
2024-01-14,12,인천시,태양광,0.635986
2024-01-14,13,인천시,태양광,0.392512
2024-01-14,14,인천시,태양광,1.239131
2024-01-14,15,인천시,태양광,2.383202
2024-01-14,16,인천시,태양광,6.961299
2024-01-14,17,인천시,태양광,2.581813
2024-01-14,18,인천시,태양광,0.375684
2024-01-14,19,인천시,태양광,0.056096
2024-01-14,20,인천시,태양광,0.0
2024-01-14,21,인천시,태양광,0.0
2024-01-14,22,인천시,태양광,8e-05
2024-01-14,23,인천시,태양광,0.0
2024-01-14,24,인천시,태양광,0.0
2024-01-15,1,인천시,태양광,0.0
2024-01-15,2,인천시,태양광,0.0
2024-01-15,3,인천시,태양광,0.0
2024-01-15,4,인천시,태양광,0.0
2024-01-15,5,인천시,태양광,0.0
2024-01-15,6,인천시,태양광,0.0
2024-01-15,7,인천시,태양광,0.0
2024-01-15,8,인천시,태양광,0.008045
2024-01-15,9,인천시,태양광,2.634869
2024-01-15,10,인천시,태양광,12.561729
2024-01-15,11,인천시,태양광,21.86847
2024-01-15,12,인천시,태양광,29.397369
2024-01-15,13,인천시,태양광,32.819851
2024-01-15,14,인천시,태양광,32.677743
2024-01-15,15,인천시,태양광,29.751962
2024-01-15,16,인천시,태양광,22.133922
2024-01-15,17,인천시,태양광,13.406202
2024-01-15,18,인천시,태양광,7.422202
2024-01-15,19,인천시,태양광,3.578223
2024-01-15,20,인천시,태양광,1.714478
2024-01-15,21,인천시,태양광,0.883918
2024-01-15,22,인천시,태양광,0.015212
2024-01-15,23,인천시,태양광,0.0024
2024-01-15,24,인천시,태양광,0.0
2024-01-16,1,인천시,태양광,0.0
2024-01-16,2,인천시,태양광,0.0
2024-01-16,3,인천시,태양광,0.0
2024-01-16,4,인천시,태양광,0.0
2024-01-16,5,인천시,태양광,0.0
2024-01-16,6,인천시,태양광,0.0
2024-01-16,7,인천시,태양광,0.0
2024-01-16,8,인천시,태양광,0.021481
2024-01-16,9,인천시,태양광,2.770575
2024-01-16,10,인천시,태양광,12.20657
2024-01-16,11,인천시,태양광,21.263234
2024-01-16,12,인천시,태양광,26.634435
2024-01-16,13,인천시,태양광,26.562368
2024-01-16,14,인천시,태양광,24.121212
2024-01-16,15,인천시,태양광,20.41977
2024-01-16,16,인천시,태양광,19.060537
2024-01-16,17,인천시,태양광,12.416226
2024-01-16,18,인천시,태양광,7.268752
2024-01-16,19,인천시,태양광,1.885733
2024-01-16,20,인천시,태양광,1.514195
2024-01-16,21,인천시,태양광,0.473
2024-01-16,22,인천시,태양광,0.00852
2024-01-16,23,인천시,태양광,0.0024
2024-01-16,24,인천시,태양광,0.0
2024-01-17,1,인천시,태양광,0.0
2024-01-17,2,인천시,태양광,0.0
2024-01-17,3,인천시,태양광,8e-05
2024-01-17,4,인천시,태양광,0.0
2024-01-17,5,인천시,태양광,0.0
2024-01-17,6,인천시,태양광,0.0
2024-01-17,7,인천시,태양광,0.0
2024-01-17,8,인천시,태양광,0.000496
2024-01-17,9,인천시,태양광,0.561689
2024-01-17,10,인천시,태양광,2.263199
2024-01-17,11,인천시,태양광,2.302417
2024-01-17,12,인천시,태양광,2.794113
2024-01-17,13,인천시,태양광,3.456765
2024-01-17,14,인천시,태양광,3.049988
2024-01-17,15,인천시,태양광,1.686812
2024-01-17,16,인천시,태양광,1.514665
2024-01-17,17,인천시,태양광,1.232298
2024-01-17,18,인천시,태양광,0.029041
2024-01-17,19,인천시,태양광,0.020104
2024-01-17,20,인천시,태양광,0.0
2024-01-17,21,인천시,태양광,0.0
2024-01-17,22,인천시,태양광,0.0
2024-01-17,23,인천시,태양광,0.0
2024-01-17,24,인천시,태양광,0.0
2024-01-18,1,인천시,태양광,0.0
2024-01-18,2,인천시,태양광,0.0
2024-01-18,3,인천시,태양광,8e-05
2024-01-18,4,인천시,태양광,0.0
2024-01-18,5,인천시,태양광,0.0
2024-01-18,6,인천시,태양광,0.0
2024-01-18,7,인천시,태양광,0.0
2024-01-18,8,인천시,태양광,0.000308
2024-01-18,9,인천시,태양광,1.3938
2024-01-18,10,인천시,태양광,8.517056
2024-01-18,11,인천시,태양광,19.203497
2024-01-18,12,인천시,태양광,25.60521
2024-01-18,13,인천시,태양광,29.066059
2024-01-18,14,인천시,태양광,28.75734
2024-01-18,15,인천시,태양광,25.107407
2024-01-18,16,인천시,태양광,18.537826
2024-01-18,17,인천시,태양광,12.884253
2024-01-18,18,인천시,태양광,7.186066
2024-01-18,19,인천시,태양광,2.573497
2024-01-18,20,인천시,태양광,1.396573
2024-01-18,21,인천시,태양광,0.3466
2024-01-18,22,인천시,태양광,0.00772
2024-01-18,23,인천시,태양광,0.0036
2024-01-18,24,인천시,태양광,0.0
2024-01-19,1,인천시,태양광,0.0
2024-01-19,2,인천시,태양광,0.0
2024-01-19,3,인천시,태양광,0.0
2024-01-19,4,인천시,태양광,0.0
2024-01-19,5,인천시,태양광,0.0
2024-01-19,6,인천시,태양광,0.0
2024-01-19,7,인천시,태양광,0.0
2024-01-19,8,인천시,태양광,0.004046
2024-01-19,9,인천시,태양광,1.849234
2024-01-19,10,인천시,태양광,10.720747
2024-01-19,11,인천시,태양광,19.207451
2024-01-19,12,인천시,태양광,18.676371
2024-01-19,13,인천시,태양광,21.350351
2024-01-19,14,인천시,태양광,20.483316
2024-01-19,15,인천시,태양광,19.057942
2024-01-19,16,인천시,태양광,16.536295
2024-01-19,17,인천시,태양광,11.913591
2024-01-19,18,인천시,태양광,6.632243
2024-01-19,19,인천시,태양광,1.607151
2024-01-19,20,인천시,태양광,0.840082
2024-01-19,21,인천시,태양광,0.0216
2024-01-19,22,인천시,태양광,0.0
2024-01-19,23,인천시,태양광,8e-05
2024-01-19,24,인천시,태양광,0.0
2024-01-20,1,인천시,태양광,0.0
2024-01-20,2,인천시,태양광,0.0
2024-01-20,3,인천시,태양광,0.0
2024-01-20,4,인천시,태양광,0.0
2024-01-20,5,인천시,태양광,0.0
2024-01-20,6,인천시,태양광,0.0
2024-01-20,7,인천시,태양광,0.0
2024-01-20,8,인천시,태양광,0.000344
2024-01-20,9,인천시,태양광,0.409608
2024-01-20,10,인천시,태양광,1.298272
2024-01-20,11,인천시,태양광,3.029089
2024-01-20,12,인천시,태양광,4.411568
2024-01-20,13,인천시,태양광,6.837941
2024-01-20,14,인천시,태양광,8.1056
2024-01-20,15,인천시,태양광,5.466184
2024-01-20,16,인천시,태양광,2.715519
2024-01-20,17,인천시,태양광,3.240324
2024-01-20,18,인천시,태양광,0.24323
2024-01-20,19,인천시,태양광,0.0497
2024-01-20,20,인천시,태양광,0.0
2024-01-20,21,인천시,태양광,0.0
2024-01-20,22,인천시,태양광,0.0
2024-01-20,23,인천시,태양광,0.0
2024-01-20,24,인천시,태양광,0.0
2024-01-21,1,인천시,태양광,0.0
2024-01-21,2,인천시,태양광,0.0
2024-01-21,3,인천시,태양광,0.0
2024-01-21,4,인천시,태양광,0.0
2024-01-21,5,인천시,태양광,8e-05
2024-01-21,6,인천시,태양광,0.0
2024-01-21,7,인천시,태양광,0.0
2024-01-21,8,인천시,태양광,0.000232
2024-01-21,9,인천시,태양광,1.131953
2024-01-21,10,인천시,태양광,2.36181
2024-01-21,11,인천시,태양광,5.066287
2024-01-21,12,인천시,태양광,6.436187
2024-01-21,13,인천시,태양광,6.898428
2024-01-21,14,인천시,태양광,6.400106
2024-01-21,15,인천시,태양광,4.378934
2024-01-21,16,인천시,태양광,4.273913
2024-01-21,17,인천시,태양광,3.277908
2024-01-21,18,인천시,태양광,0.235395
2024-01-21,19,인천시,태양광,0.05898
2024-01-21,20,인천시,태양광,0.0032
2024-01-21,21,인천시,태양광,0.0
2024-01-21,22,인천시,태양광,0.0
2024-01-21,23,인천시,태양광,0.0
2024-01-21,24,인천시,태양광,0.0
2024-01-22,1,인천시,태양광,0.0
2024-01-22,2,인천시,태양광,8e-05
2024-01-22,3,인천시,태양광,0.0
2024-01-22,4,인천시,태양광,0.0
2024-01-22,5,인천시,태양광,0.0
2024-01-22,6,인천시,태양광,0.0
2024-01-22,7,인천시,태양광,0.0
2024-01-22,8,인천시,태양광,0.001013
2024-01-22,9,인천시,태양광,1.365688
2024-01-22,10,인천시,태양광,6.409597
2024-01-22,11,인천시,태양광,12.01374
2024-01-22,12,인천시,태양광,17.049932
2024-01-22,13,인천시,태양광,17.898773
2024-01-22,14,인천시,태양광,17.456719
2024-01-22,15,인천시,태양광,14.892783
2024-01-22,16,인천시,태양광,11.425078
2024-01-22,17,인천시,태양광,11.38888
2024-01-22,18,인천시,태양광,2.957603
2024-01-22,19,인천시,태양광,1.055071
2024-01-22,20,인천시,태양광,0.285888
2024-01-22,21,인천시,태양광,0.01816
2024-01-22,22,인천시,태양광,0.0
2024-01-22,23,인천시,태양광,0.0
2024-01-22,24,인천시,태양광,0.0
2024-01-23,1,인천시,태양광,0.0
2024-01-23,2,인천시,태양광,0.0
2024-01-23,3,인천시,태양광,0.0
2024-01-23,4,인천시,태양광,8e-05
2024-01-23,5,인천시,태양광,0.0
2024-01-23,6,인천시,태양광,0.0
2024-01-23,7,인천시,태양광,0.0
2024-01-23,8,인천시,태양광,0.024856
2024-01-23,9,인천시,태양광,2.664837
2024-01-23,10,인천시,태양광,11.256412
2024-01-23,11,인천시,태양광,19.389976
2024-01-23,12,인천시,태양광,26.724688
2024-01-23,13,인천시,태양광,29.024208
2024-01-23,14,인천시,태양광,26.66512
2024-01-23,15,인천시,태양광,19.871848
2024-01-23,16,인천시,태양광,15.512816
2024-01-23,17,인천시,태양광,12.457012
2024-01-23,18,인천시,태양광,2.841869
2024-01-23,19,인천시,태양광,1.232857
2024-01-23,20,인천시,태양광,1.391793
2024-01-23,21,인천시,태양광,0.116424
2024-01-23,22,인천시,태양광,0.00376
2024-01-23,23,인천시,태양광,0.0
2024-01-23,24,인천시,태양광,0.0
2024-01-24,1,인천시,태양광,0.0
2024-01-24,2,인천시,태양광,0.0
2024-01-24,3,인천시,태양광,0.0
2024-01-24,4,인천시,태양광,0.0
2024-01-24,5,인천시,태양광,8e-05
2024-01-24,6,인천시,태양광,0.0
2024-01-24,7,인천시,태양광,0.0
2024-01-24,8,인천시,태양광,0.022591
2024-01-24,9,인천시,태양광,3.202511
2024-01-24,10,인천시,태양광,13.647606
2024-01-24,11,인천시,태양광,22.995599
2024-01-24,12,인천시,태양광,30.327522
2024-01-24,13,인천시,태양광,31.215689
2024-01-24,14,인천시,태양광,30.447619
2024-01-24,15,인천시,태양광,28.895182
2024-01-24,16,인천시,태양광,22.656843
2024-01-24,17,인천시,태양광,15.676818
2024-01-24,18,인천시,태양광,7.903997
2024-01-24,19,인천시,태양광,3.086922
2024-01-24,20,인천시,태양광,1.791081
2024-01-24,21,인천시,태양광,0.864062
2024-01-24,22,인천시,태양광,0.00356
2024-01-24,23,인천시,태양광,0.0
2024-01-24,24,인천시,태양광,0.0
2024-01-25,1,인천시,태양광,0.0
2024-01-25,2,인천시,태양광,8e-05
2024-01-25,3,인천시,태양광,0.0
2024-01-25,4,인천시,태양광,0.0
2024-01-25,5,인천시,태양광,0.0
2024-01-25,6,인천시,태양광,0.0
2024-01-25,7,인천시,태양광,0.0
2024-01-25,8,인천시,태양광,0.02889
2024-01-25,9,인천시,태양광,3.086779
2024-01-25,10,인천시,태양광,12.942328
2024-01-25,11,인천시,태양광,22.013229
2024-01-25,12,인천시,태양광,29.655228
2024-01-25,13,인천시,태양광,33.638298
2024-01-25,14,인천시,태양광,33.870888
2024-01-25,15,인천시,태양광,31.53055
2024-01-25,16,인천시,태양광,23.637219
2024-01-25,17,인천시,태양광,15.334668
2024-01-25,18,인천시,태양광,7.452524
2024-01-25,19,인천시,태양광,2.696339
2024-01-25,20,인천시,태양광,0.749146
2024-01-25,21,인천시,태양광,0.262144
2024-01-25,22,인천시,태양광,0.00336
2024-01-25,23,인천시,태양광,8e-05
2024-01-25,24,인천시,태양광,0.0
2024-01-26,1,인천시,태양광,0.0
2024-01-26,2,인천시,태양광,0.0
2024-01-26,3,인천시,태양광,0.0
2024-01-26,4,인천시,태양광,0.0
2024-01-26,5,인천시,태양광,0.0
2024-01-26,6,인천시,태양광,0.0
2024-01-26,7,인천시,태양광,0.0
2024-01-26,8,인천시,태양광,0.029443
2024-01-26,9,인천시,태양광,2.145013
2024-01-26,10,인천시,태양광,6.625655
2024-01-26,11,인천시,태양광,7.758215
2024-01-26,12,인천시,태양광,17.851871
2024-01-26,13,인천시,태양광,26.827663
2024-01-26,14,인천시,태양광,26.503453
2024-01-26,15,인천시,태양광,22.733584
2024-01-26,16,인천시,태양광,20.032216
2024-01-26,17,인천시,태양광,14.688012
2024-01-26,18,인천시,태양광,4.890118
2024-01-26,19,인천시,태양광,0.78345
2024-01-26,20,인천시,태양광,0.368918
2024-01-26,21,인천시,태양광,0.06572
2024-01-26,22,인천시,태양광,0.00376
2024-01-26,23,인천시,태양광,0.0
2024-01-26,24,인천시,태양광,0.0
2024-01-27,1,인천시,태양광,0.0
2024-01-27,2,인천시,태양광,0.0
2024-01-27,3,인천시,태양광,0.0
2024-01-27,4,인천시,태양광,0.0
2024-01-27,5,인천시,태양광,0.0
2024-01-27,6,인천시,태양광,0.0
2024-01-27,7,인천시,태양광,0.0
2024-01-27,8,인천시,태양광,0.03224
2024-01-27,9,인천시,태양광,2.812591
2024-01-27,10,인천시,태양광,11.627324
2024-01-27,11,인천시,태양광,20.444161
2024-01-27,12,인천시,태양광,26.702469
2024-01-27,13,인천시,태양광,29.156359
2024-01-27,14,인천시,태양광,27.969867
2024-01-27,15,인천시,태양광,24.253637
2024-01-27,16,인천시,태양광,17.394409
2024-01-27,17,인천시,태양광,12.700409
2024-01-27,18,인천시,태양광,7.411697
2024-01-27,19,인천시,태양광,1.93797
2024-01-27,20,인천시,태양광,0.549535
